[Wed Mar 25 19:09:39 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:39 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:40 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:41 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:42 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:43 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:44 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:45 2026] R1:10, R2:50, EMER:2 -> GREEN:2
[Wed Mar 25 19:09:46 2026] R1:10, R2:50, EMER:2 -> GREEN:2
[Wed Mar 25 19:09:47 2026] R1:10, R2:50, EMER:2 -> GREEN:2
[Wed Mar 25 19:09:48 2026] R1:10, R2:50, EMER:2 -> GREEN:2
[Wed Mar 25 19:09:49 2026] R1:10, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:09:50 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:50 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:51 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:52 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:53 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:54 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:55 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:56 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:57 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:58 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:09:59 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:00 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:01 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:02 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:03 2026] R1:10, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:12 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:13 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:14 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:15 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:16 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:17 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:18 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:19 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:20 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:21 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:22 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:23 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:24 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:25 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:26 2026] R1:5, R2:50, EMER:1 -> GREEN:1
[Wed Mar 25 19:10:27 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:28 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:29 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:30 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 19:10:31 2026] R1:5, R2:50, EMER:0 -> GREEN:2
[Wed Mar 25 20:34:04 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:05 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:06 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:07 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:08 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:09 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:10 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:11 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:12 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:13 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:14 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:15 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:16 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:17 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:18 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:19 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:20 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:21 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:22 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:23 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:24 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:25 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:26 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:27 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:28 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:29 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:30 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:37 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:38 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:39 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:40 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:41 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:42 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:43 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:44 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:45 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:46 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:47 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:48 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:49 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:50 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:51 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:52 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:53 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:54 2026] R1:20, R2:8, EMER:2 -> GREEN:2
[Wed Mar 25 20:34:55 2026] R1:20, R2:8, EMER:0 -> GREEN:1
[Wed Mar 25 20:34:56 2026] R1:20, R2:8, EMER:0 -> GREEN:1
